raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
tfidf__equal__1000__NaiveBayes_pred,,NaiveBayes,ML,,,,,equal,1000.0,tfidf,0.7664670658682635,0.8060453400503779,0.730593607305936,0.805,,,
tfidf__equal__1000__SVM_pred,,SVM,ML,,,,,equal,1000.0,tfidf,0.8013620885357549,0.7968397291196389,0.8059360730593608,0.825,,,
tfidf__equal__1000__XGBoost_pred,,XGBoost,ML,,,,,equal,1000.0,tfidf,0.8018327605956472,0.8045977011494253,0.7990867579908676,0.827,,,
tfidf__equal__2000__RandomForest_pred,,RandomForest,ML,,,,,equal,2000.0,tfidf,0.7952069716775599,0.7604166666666666,0.8333333333333334,0.812,,,
tfidf__equal__2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,equal,2000.0,tfidf,0.8562019758507134,0.8245243128964059,0.8904109589041096,0.869,,,
tfidf__equal__2000__KNeighbors_pred,,KNeighbors,ML,,,,,equal,2000.0,tfidf,0.7076101468624834,0.8520900321543409,0.6050228310502284,0.781,,,
tfidf__equal__2000__NaiveBayes_pred,,NaiveBayes,ML,,,,,equal,2000.0,tfidf,0.8383371824480369,0.8481308411214953,0.8287671232876712,0.86,,,
tfidf__equal__2000__SVM_pred,,SVM,ML,,,,,equal,2000.0,tfidf,0.8414096916299559,0.8127659574468085,0.8721461187214612,0.856,,,
tfidf__equal__2000__XGBoost_pred,,XGBoost,ML,,,,,equal,2000.0,tfidf,0.8307349665924276,0.8108695652173913,0.8515981735159818,0.848,,,
tfidf__equal__250__RandomForest_pred,,RandomForest,ML,,,,,equal,250.0,tfidf,0.5753012048192772,0.8451327433628318,0.4360730593607306,0.718,,,
tfidf__equal__250__LogisticRegression_pred,,LogisticRegression,ML,,,,,equal,250.0,tfidf,0.6778350515463918,0.7781065088757396,0.6004566210045662,0.75,,,
tfidf__equal__250__KNeighbors_pred,,KNeighbors,ML,,,,,equal,250.0,tfidf,0.5958041958041959,0.7689530685920578,0.4863013698630137,0.711,,,
tfidf__equal__250__NaiveBayes_pred,,NaiveBayes,ML,,,,,equal,250.0,tfidf,0.6276747503566333,0.8365019011406845,0.502283105022831,0.739,,,
tfidf__equal__250__SVM_pred,,SVM,ML,,,,,equal,250.0,tfidf,0.6699875466998755,0.736986301369863,0.6141552511415526,0.735,,,
tfidf__equal__250__XGBoost_pred,,XGBoost,ML,,,,,equal,250.0,tfidf,0.5983606557377049,0.7448979591836735,0.5,0.706,,,
tfidf__equal__500__RandomForest_pred,,RandomForest,ML,,,,,equal,500.0,tfidf,0.7191780821917808,0.7191780821917808,0.7191780821917808,0.754,,,
tfidf__equal__500__LogisticRegression_pred,,LogisticRegression,ML,,,,,equal,500.0,tfidf,0.7868080094228505,0.8126520681265207,0.7625570776255708,0.819,,,
tfidf__equal__500__KNeighbors_pred,,KNeighbors,ML,,,,,equal,500.0,tfidf,0.7037037037037037,0.8364779874213837,0.6073059360730594,0.776,,,
tfidf__equal__500__NaiveBayes_pred,,NaiveBayes,ML,,,,,equal,500.0,tfidf,0.7572115384615384,0.799492385786802,0.7191780821917808,0.798,,,
